Iteration,Nº Landmarks,Landmarks detected,Real Landmarks,Association time,Localitation time,Association Cost,Recovery Applied,Location estimated,Real location,Location Error,Orientation Error
571,6,47-53-54-55-61-62,47-53-54-55-61-62,218.525,217.986,1.18791,0,(189.724275 | -218.739444),(189.693161 | -218.744797),3.15709,0.0
572,6,47-53-54-55-61-62,47-53-54-55-61-62,200.354,203.665,2.86993,0,(189.727196 | -218.730533),(189.693161 | -218.744797),3.69029,0.0
573,6,47-53-54-55-61-62,47-53-54-55-61-62,212.046,319.262,1.09419,0,(189.662657 | -218.745660),(189.693161 | -218.744797),3.05159,0.0
574,6,47-53-54-55-61-62,47-53-54-55-61-62,121.905,220.312,4.82483,0,(189.593576 | -218.688884),(189.693161 | -218.744797),11.4208,0.0
575,6,47-53-54-55-61-62,47-53-54-55-61-62,121.988,261.195,2.01912,0,(189.650392 | -218.740007),(189.693161 | -218.744797),4.30364,0.0
576,6,47-53-54-55-61-62,47-53-54-55-61-62,133.952,224.804,2.12113,0,(189.648831 | -218.751752),(189.693161 | -218.744797),4.48728,0.0
577,6,47-53-54-55-61-62,47-53-54-55-61-62,147.752,280.74,3.94691,0,(189.606389 | -218.798246),(189.693161 | -218.744797),10.1913,0.0
578,6,47-53-54-55-61-62,47-53-54-55-61-62,168.499,245.477,2.0516,0,(189.677565 | -218.735547),(189.693161 | -218.744797),1.81321,0.0
579,6,47-53-54-55-61-62,47-53-54-55-61-62,122.25,279.749,4.13837,0,(189.760811 | -218.707970),(189.693161 | -218.744797),7.70245,0.0
580,6,47-53-54-55-61-62,47-53-54-55-61-62,136.491,241.363,3.57013,0,(189.652082 | -218.740158),(189.693161 | -218.744797),4.13402,0.0
581,6,47-53-54-55-61-62,47-53-54-55-61-62,176.898,308.947,2.89207,0,(189.751632 | -218.728535),(189.693161 | -218.744797),6.06901,0.0
582,6,47-53-54-55-61-62,47-53-54-55-61-62,193.489,294.355,2.20124,0,(189.693871 | -218.744782),(189.693161 | -218.744797),0.0710503,0.0
583,6,47-53-54-55-61-62,47-53-54-55-61-62,153.383,223.873,2.92087,0,(189.681954 | -218.760840),(189.693161 | -218.744797),1.95701,0.0
584,6,47-53-54-55-61-62,47-53-54-55-61-62,223.059,265.571,4.80741,0,(189.782045 | -218.713733),(189.693161 | -218.744797),9.41557,0.0
585,6,47-53-54-55-61-62,47-53-54-55-61-62,121.301,183.513,4.00306,0,(189.707594 | -218.766451),(189.693161 | -218.744797),2.6023,0.0
586,6,47-53-54-55-61-62,47-53-54-55-61-62,148.198,272.624,2.86404,0,(189.736245 | -218.735758),(189.693161 | -218.744797),4.40218,0.0
587,6,47-53-54-55-61-62,47-53-54-55-61-62,132.091,277.854,2.59248,0,(189.703469 | -218.737841),(189.693161 | -218.744797),1.24349,0.0
588,6,47-53-54-55-61-62,47-53-54-55-61-62,220.391,306.086,2.86923,0,(189.705154 | -218.726621),(189.693161 | -218.744797),2.17759,0.0
589,6,47-53-54-55-61-62,47-53-54-55-61-62,155.588,348.003,2.24944,0,(189.781885 | -218.661228),(189.693161 | -218.744797),12.1884,0.0
590,6,47-53-54-55-61-62,47-53-54-55-61-62,221.497,347.445,1.48476,0,(189.694765 | -218.743865),(189.693161 | -218.744797),0.185535,0.0
591,6,47-53-54-55-61-62,47-53-54-55-61-62,123.888,250.963,3.99155,0,(189.590915 | -218.792698),(189.693161 | -218.744797),11.291,0.0
592,6,47-53-54-55-61-62,47-53-54-55-61-62,123.651,247.632,2.18067,0,(189.704051 | -218.730367),(189.693161 | -218.744797),1.80776,0.0
593,6,47-53-54-55-61-62,47-53-54-55-61-62,154.835,250.433,2.3437,0,(189.690364 | -218.745767),(189.693161 | -218.744797),0.296086,0.0
594,6,47-53-54-55-61-62,47-53-54-55-61-62,131.838,251.481,3.87099,0,(189.708066 | -218.769945),(189.693161 | -218.744797),2.9233,0.0
595,6,47-53-54-55-61-62,47-53-54-55-61-62,123.515,229.997,0.821723,0,(189.714133 | -218.723173),(189.693161 | -218.744797),3.01232,0.0
596,6,47-53-54-55-61-62,47-53-54-55-61-62,208.457,335.701,1.934,0,(189.681788 | -218.794353),(189.693161 | -218.744797),5.08441,0.0
597,6,47-53-54-55-61-62,47-53-54-55-61-62,121.816,273.066,2.79621,0,(189.752297 | -218.683603),(189.693161 | -218.744797),8.50984,0.0
598,6,47-53-54-55-61-62,47-53-54-55-61-62,137.438,259.141,2.26301,0,(189.681793 | -218.758236),(189.693161 | -218.744797),1.76027,0.0
599,6,47-53-54-55-61-62,47-53-54-55-61-62,219.187,330.296,2.18194,0,(189.689695 | -218.776370),(189.693161 | -218.744797),3.17627,0.0
600,6,47-53-54-55-61-62,47-53-54-55-61-62,218.694,360.675,3.643,0,(189.746093 | -218.687559),(189.693161 | -218.744797),7.79613,0.0
601,6,47-53-54-55-61-62,47-53-54-55-61-62,146.416,345.848,3.25108,0,(189.724321 | -218.757442),(189.693161 | -218.744797),3.36277,0.0
602,6,47-53-54-55-61-62,47-53-54-55-61-62,192.934,292.785,3.11389,0,(189.924736 | -218.481970),(189.693161 | -218.744797),35.0292,0.0
603,6,47-53-54-55-61-62,47-53-54-55-61-62,120.737,206.977,2.20531,0,(189.735472 | -218.686282),(189.693161 | -218.744797),7.22095,0.0
604,6,47-53-54-55-61-62,47-53-54-55-61-62,161.076,256.909,2.70926,0,(189.669259 | -218.773093),(189.693161 | -218.744797),3.70403,0.0
605,6,47-53-54-55-61-62,47-53-54-55-61-62,209.456,336.629,2.12436,0,(189.706587 | -218.743824),(189.693161 | -218.744797),1.34612,0.0
606,6,47-53-54-55-61-62,47-53-54-55-61-62,220.848,409.865,1.63783,0,(189.650470 | -218.754024),(189.693161 | -218.744797),4.36765,0.0
607,6,47-53-54-55-61-62,47-53-54-55-61-62,122.788,186.366,1.48228,0,(189.706994 | -218.717827),(189.693161 | -218.744797),3.03102,0.0
608,6,47-53-54-55-61-62,47-53-54-55-61-62,201.838,249.795,4.08401,0,(189.569661 | -218.867966),(189.693161 | -218.744797),17.4422,0.0
609,6,47-53-54-55-61-62,47-53-54-55-61-62,181.455,246.506,2.24282,0,(189.686900 | -218.736926),(189.693161 | -218.744797),1.00573,0.0
610,6,47-53-54-55-61-62,47-53-54-55-61-62,124.796,337.26,1.91182,0,(189.685815 | -218.739982),(189.693161 | -218.744797),0.878314,0.0
611,6,47-53-54-55-61-62,47-53-54-55-61-62,160.189,359.478,2.95381,0,(189.653847 | -218.771455),(189.693161 | -218.744797),4.75006,0.0
612,6,47-53-54-55-61-62,47-53-54-55-61-62,170.934,314.25,2.35389,0,(189.712067 | -218.737937),(189.693161 | -218.744797),2.01124,0.0
613,6,47-53-54-55-61-62,47-53-54-55-61-62,186.127,308.076,2.58372,0,(189.716541 | -218.725594),(189.693161 | -218.744797),3.02556,0.0
614,6,47-53-54-55-61-62,47-53-54-55-61-62,211.061,265.605,2.06017,0,(189.636798 | -218.813372),(189.693161 | -218.744797),8.87659,0.0
615,6,47-53-54-55-61-62,47-53-54-55-61-62,149.81,284.43,1.76862,0,(189.643338 | -218.819782),(189.693161 | -218.744797),9.00288,0.0
616,6,47-53-54-55-61-62,47-53-54-55-61-62,126.988,245.603,5.42597,0,(189.771513 | -218.851831),(189.693161 | -218.744797),13.2647,0.0
617,6,47-53-54-55-61-62,47-53-54-55-61-62,170.569,194.229,2.82692,0,(189.701309 | -218.733202),(189.693161 | -218.744797),1.41711,0.0
618,6,47-53-54-55-61-62,47-53-54-55-61-62,148.371,467.587,2.0669,0,(189.712494 | -218.730015),(189.693161 | -218.744797),2.43368,0.0
619,6,47-53-54-55-61-62,47-53-54-55-61-62,124.388,260.048,1.08476,0,(189.707156 | -218.753517),(189.693161 | -218.744797),1.64894,0.0
620,6,47-53-54-55-61-62,47-53-54-55-61-62,206.22,344.304,2.06553,0,(189.704350 | -218.705866),(189.693161 | -218.744797),4.05069,0.0
621,6,47-53-54-55-61-62,47-53-54-55-61-62,188.657,299.848,2.39137,0,(189.622617 | -218.737628),(189.693161 | -218.744797),7.09069,0.0
622,6,47-53-54-55-61-62,47-53-54-55-61-62,166.327,215.865,2.25166,0,(189.717083 | -218.723497),(189.693161 | -218.744797),3.20303,0.0
623,6,47-53-54-55-61-62,47-53-54-55-61-62,209.97,198.792,2.58047,0,(189.668192 | -218.808589),(189.693161 | -218.744797),6.85045,0.0
624,6,47-53-54-55-61-62,47-53-54-55-61-62,168.493,204.053,3.10253,0,(189.700986 | -218.759824),(189.693161 | -218.744797),1.69424,0.0
625,6,47-53-54-55-61-62,47-53-54-55-61-62,136.751,222.554,2.75055,0,(189.728463 | -218.732136),(189.693161 | -218.744797),3.75036,0.0
626,6,47-53-54-55-61-62,47-53-54-55-61-62,165.501,275.904,4.68116,0,(189.673012 | -218.793877),(189.693161 | -218.744797),5.30557,0.0
627,6,47-53-54-55-61-62,47-53-54-55-61-62,185.576,237.121,2.91802,0,(189.684506 | -218.735099),(189.693161 | -218.744797),1.29977,0.0
628,6,47-53-54-55-61-62,47-53-54-55-61-62,178.085,387.758,1.87282,0,(189.692244 | -218.744470),(189.693161 | -218.744797),0.0973847,0.0
629,6,47-53-54-55-61-62,47-53-54-55-61-62,172.054,204.423,1.43223,0,(189.712594 | -218.737316),(189.693161 | -218.744797),2.0823,0.0
630,6,47-53-54-55-61-62,47-53-54-55-61-62,214.334,281.415,3.14522,0,(189.685643 | -218.697128),(189.693161 | -218.744797),4.82574,0.0
631,6,47-53-54-55-61-62,47-53-54-55-61-62,156.726,178.534,2.55013,0,(189.767951 | -218.601013),(189.693161 | -218.744797),16.2072,0.0
632,6,47-53-54-55-61-62,47-53-54-55-61-62,152.363,231.371,1.37576,0,(189.704183 | -218.734379),(189.693161 | -218.744797),1.51658,0.0
633,6,47-53-54-55-61-62,47-53-54-55-61-62,192.102,274.025,2.13326,0,(189.700141 | -218.787271),(189.693161 | -218.744797),4.30436,0.0
634,6,47-53-54-55-61-62,47-53-54-55-61-62,160.827,236.704,3.91351,0,(189.705970 | -218.737869),(189.693161 | -218.744797),1.45621,0.0
635,6,47-53-54-55-61-62,47-53-54-55-61-62,118.711,183.841,2.26323,0,(189.732088 | -218.739069),(189.693161 | -218.744797),3.93461,0.0
636,6,47-53-54-55-61-62,47-53-54-55-61-62,135.06,372.141,2.80384,0,(189.648520 | -218.720931),(189.693161 | -218.744797),5.06197,0.0
637,6,47-53-54-55-61-62,47-53-54-55-61-62,186.834,355.184,2.33058,0,(189.733789 | -218.767409),(189.693161 | -218.744797),4.64968,0.0
638,6,47-53-54-55-61-62,47-53-54-55-61-62,201.831,355.981,3.36714,0,(189.664391 | -218.780576),(189.693161 | -218.744797),4.59115,0.0
639,6,47-53-54-55-61-62,47-53-54-55-61-62,126.17,214.656,1.22209,0,(189.688160 | -218.749852),(189.693161 | -218.744797),0.711088,0.0
640,6,47-53-54-55-61-62,47-53-54-55-61-62,137.856,513.969,4.13802,0,(189.696278 | -218.743055),(189.693161 | -218.744797),0.357027,0.0
641,6,47-53-54-55-61-62,47-53-54-55-61-62,171.564,305.917,3.17094,0,(189.667029 | -218.735123),(189.693161 | -218.744797),2.78649,0.0
642,6,47-53-54-55-61-62,47-53-54-55-61-62,162.929,240.611,2.13542,0,(189.655180 | -218.767444),(189.693161 | -218.744797),4.4221,0.0
643,6,47-53-54-55-61-62,47-53-54-55-61-62,124.559,235.173,3.56409,0,(189.620723 | -218.821412),(189.693161 | -218.744797),10.5438,0.0
644,6,47-53-54-55-61-62,47-53-54-55-61-62,143.978,312.964,3.11259,0,(189.707604 | -218.775709),(189.693161 | -218.744797),3.41203,0.0
645,6,47-53-54-55-61-62,47-53-54-55-61-62,135.074,264.003,3.60962,0,(189.659768 | -218.746569),(189.693161 | -218.744797),3.344,0.0
646,6,47-53-54-55-61-62,47-53-54-55-61-62,219.077,333.568,1.92144,0,(189.671139 | -218.798480),(189.693161 | -218.744797),5.80248,0.0
647,6,47-53-54-55-61-62,47-53-54-55-61-62,215.123,320.081,2.37953,0,(189.628019 | -218.843585),(189.693161 | -218.744797),11.8333,0.0
648,6,47-53-54-55-61-62,47-53-54-55-61-62,125.654,249.553,2.45383,0,(189.700094 | -218.731598),(189.693161 | -218.744797),1.49091,0.0
649,6,47-53-54-55-61-62,47-53-54-55-61-62,150.121,418.595,2.47869,0,(189.701059 | -218.787252),(189.693161 | -218.744797),4.31837,0.0
650,6,47-53-54-55-61-62,47-53-54-55-61-62,217.176,292.56,1.70303,0,(189.751723 | -218.680217),(189.693161 | -218.744797),8.71786,0.0
651,6,47-53-54-55-61-62,47-53-54-55-61-62,124.818,241.466,5.12681,0,(189.738638 | -218.592842),(189.693161 | -218.744797),15.8615,0.0
652,6,47-53-54-55-61-62,47-53-54-55-61-62,165.514,335.098,2.82525,0,(189.656193 | -218.739660),(189.693161 | -218.744797),3.73229,0.0
653,6,47-53-54-55-61-62,47-53-54-55-61-62,162.203,269.793,2.30707,0,(189.687276 | -218.766545),(189.693161 | -218.744797),2.25304,0.0
654,6,47-53-54-55-61-62,47-53-54-55-61-62,182.894,228.516,3.51845,0,(189.790476 | -218.646872),(189.693161 | -218.744797),13.8056,0.0
655,6,47-53-54-55-61-62,47-53-54-55-61-62,162.555,226.765,3.19539,0,(189.772690 | -218.663653),(189.693161 | -218.744797),11.3618,0.0
656,6,47-53-54-55-61-62,47-53-54-55-61-62,127.943,276.55,1.93406,0,(189.666084 | -218.777661),(189.693161 | -218.744797),4.25818,0.0
657,6,47-53-54-55-61-62,47-53-54-55-61-62,124.265,317.991,2.95338,0,(189.672186 | -218.769698),(189.693161 | -218.744797),3.25574,0.0
658,6,47-53-54-55-61-62,47-53-54-55-61-62,130.545,253.44,2.84425,0,(189.667872 | -218.756967),(189.693161 | -218.744797),2.80654,0.0
659,6,47-53-54-55-61-62,47-53-54-55-61-62,225.756,309.243,5.31834,0,(189.648628 | -218.788296),(189.693161 | -218.744797),6.22527,0.0
660,6,47-53-54-55-61-62,47-53-54-55-61-62,221.175,586.233,2.69396,0,(189.658865 | -218.752571),(189.693161 | -218.744797),3.51657,0.0
661,6,47-53-54-55-61-62,47-53-54-55-61-62,636.697,731.979,3.1983,0,(189.681655 | -218.748808),(189.693161 | -218.744797),1.21853,0.0
662,6,47-53-54-55-61-62,47-53-54-55-61-62,178.122,296.645,2.68348,0,(189.799518 | -218.654717),(189.693161 | -218.744797),13.9378,0.0
663,6,47-53-54-55-61-62,47-53-54-55-61-62,219.793,238.834,3.31279,0,(189.719437 | -218.716936),(189.693161 | -218.744797),3.8297,0.0
664,6,47-53-54-55-61-62,47-53-54-55-61-62,130.383,280.328,2.88281,0,(189.676377 | -218.754331),(189.693161 | -218.744797),1.93031,0.0
665,6,47-53-54-55-61-62,47-53-54-55-61-62,216.739,234.279,2.80267,0,(189.752430 | -218.737521),(189.693161 | -218.744797),5.97136,0.0
666,6,47-53-54-55-61-62,47-53-54-55-61-62,215.776,246.5,4.42977,0,(189.385082 | -219.020101),(189.693161 | -218.744797),41.3165,0.0
667,6,47-53-54-55-61-62,47-53-54-55-61-62,215.371,348.239,3.07619,0,(189.743115 | -218.698256),(189.693161 | -218.744797),6.82749,0.0
668,6,47-53-54-55-61-62,47-53-54-55-61-62,142.858,479.715,2.37528,0,(189.718191 | -218.706405),(189.693161 | -218.744797),4.58305,0.0
669,6,47-53-54-55-61-62,47-53-54-55-61-62,140.297,739.464,2.70746,0,(189.697708 | -218.740798),(189.693161 | -218.744797),0.605506,0.0
670,6,47-53-54-55-61-62,47-53-54-55-61-62,194.868,204.105,3.73317,0,(189.652342 | -218.811471),(189.693161 | -218.744797),7.81775,0.0
671,6,47-53-54-55-61-62,47-53-54-55-61-62,223.219,352.573,2.54347,0,(189.711631 | -218.743446),(189.693161 | -218.747696),1.8953,0.0
672,6,47-53-54-55-61-62,47-53-54-55-61-62,216.298,229.866,3.10117,0,(189.672494 | -218.866375),(189.693024 | -218.847122),2.8145,0.0
673,6,47-53-54-55-61-62,47-53-54-55-61-62,127.566,232.976,2.65545,0,(189.643595 | -219.088953),(189.693176 | -219.056793),5.90975,0.0
674,6,47-53-54-55-61-62,47-53-54-55-61-62,133.576,262.179,4.1278,0,(189.701596 | -219.410630),(189.693237 | -219.398041),1.51116,0.0
675,6,47-53-54-55-61-62,47-53-54-55-61-62,152.457,210.855,4.16886,0,(189.678257 | -219.893668),(189.693192 | -219.875854),2.32459,0.0
676,6,47-53-54-55-61-62,47-53-54-55-61-62,182.873,319.66,5.77955,0,(189.691919 | -220.805301),(189.693359 | -220.720795),8.45187,0.0
677,6,47-53-54-55-61-62,47-53-54-55-61-62,218.481,235.697,4.89382,0,(189.761810 | -221.508897),(189.693420 | -221.494110),6.99698,0.0
678,6,47-53-54-55-61-62,47-53-54-55-61-62,161.156,264.076,5.402,0,(189.677067 | -222.376058),(189.693710 | -222.325302),5.34148,0.0
679,6,47-53-54-55-61-62,47-53-54-55-61-62,194.594,238.492,6.399,0,(189.651853 | -223.257634),(189.694000 | -223.244415),4.41714,0.0
680,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,339.212,769.207,10.2627,0,(189.660035 | -224.626195),(189.694397 | -224.603485),4.11882,0.0
681,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,352.537,314.996,6.80266,0,(189.741712 | -225.591018),(189.694687 | -225.599609),4.78032,0.0
682,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,135.009,241.589,7.75141,0,(189.595564 | -226.629260),(189.694977 | -226.536758),13.5792,0.0
683,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,188.264,262.882,5.26411,0,(189.789396 | -227.365853),(189.695175 | -227.428162),11.296,0.0
684,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,238.169,303.048,8.7248,0,(189.726374 | -228.581506),(189.695175 | -228.608215),4.10703,0.0
685,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,176.699,233.016,6.1152,0,(189.792750 | -229.406911),(189.695175 | -229.494812),13.133,0.0
686,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,145.737,190.995,10.5167,0,(189.694622 | -230.724933),(189.695175 | -230.632904),9.20304,0.0
687,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,181.067,249.978,6.14599,0,(189.729100 | -231.466287),(189.695175 | -231.464722),3.39607,0.0
688,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,149.783,259.993,5.98989,0,(189.687871 | -232.343928),(189.695175 | -232.348724),0.873765,0.0
689,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,195.381,400.556,9.25435,0,(189.662936 | -233.659186),(189.695541 | -233.688354),4.37483,0.0
690,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,136.019,267.853,8.03554,0,(189.695978 | -234.839734),(189.695877 | -234.832840),0.689497,0.0
691,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,160.862,298.662,8.66147,0,(189.656126 | -236.090015),(189.696259 | -236.082321),4.08631,0.0
692,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,135.605,254.55,11.0381,0,(189.725803 | -237.716510),(189.696655 | -237.746460),4.17924,0.0
693,7,47-48-53-54-55-61-62,47-48-53-54-55-61-62,165.794,353.225,9.14205,0,(189.692681 | -238.995898),(189.696945 | -238.942413),5.36546,0.0
694,6,47-48-54-55-61-62,47-48-54-55-61-62,225.608,1297.63,7.21884,0,(189.801270 | -239.984576),(189.697327 | -240.128632),17.7641,0.0
695,6,47-48-54-55-61-62,47-48-54-55-61-62,123.155,250.027,9.37803,0,(189.748599 | -241.288880),(189.697617 | -241.340576),7.26069,0.0
696,7,47-48-54-55-56-61-62,47-48-54-55-56-61-62,170.853,267.753,9.62388,0,(189.658249 | -242.596825),(189.697891 | -242.564682),5.10359,0.0
697,8,47-48-54-55-56-61-62-63,47-48-54-55-56-61-62-63,271.667,399.488,13.4645,0,(189.785707 | -244.093008),(189.698135 | -244.177811),12.1903,0.0
698,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,238.247,351.248,9.3185,0,(189.638459 | -245.401696),(189.698349 | -245.379990),6.37026,0.0
699,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,174.023,248.809,8.38102,0,(189.684596 | -246.605244),(189.698349 | -246.589355),2.1014,0.0
700,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,187.993,336.816,11.2157,0,(189.702576 | -248.207982),(189.698380 | -248.207565),0.421716,0.0
701,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,129.654,249.887,9.09642,0,(189.716484 | -249.423980),(189.698380 | -249.417145),1.93519,0.0
702,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,173.407,340.702,8.4481,0,(189.660421 | -250.690028),(189.698257 | -250.624802),7.5406,0.0
703,7,47-48-54-55-56-62-63,47-48-54-55-56-62-63,131.744,279.555,9.4747,0,(189.715318 | -252.209287),(189.697906 | -252.239716),3.50578,0.0
704,6,48-54-55-56-62-63,48-54-55-56-62-63,150.353,339.833,9.63281,0,(189.629350 | -253.530957),(189.697495 | -253.493332),7.7841,0.0
705,5,48-55-56-62-63,48-55-56-62-63,162.452,359.885,6.36552,0,(189.707551 | -254.814349),(189.696930 | -254.839096),2.69298,0.0
706,5,48-55-56-62-63,48-55-56-62-63,190.248,342.533,10.0428,0,(189.768839 | -256.782912),(189.696152 | -256.810516),7.77526,0.0
707,5,48-55-56-62-63,48-55-56-62-63,109.389,276.2,7.88308,0,(189.688878 | -258.415863),(189.695389 | -258.431732),1.71525,0.0
708,5,48-55-56-62-63,48-55-56-62-63,113.03,302.064,12.6237,0,(189.617847 | -260.908664),(189.694214 | -260.772186),15.639,0.0
709,5,48-55-56-62-63,48-55-56-62-63,182.551,320.279,8.73135,0,(189.719456 | -262.639559),(189.693192 | -262.643219),2.65185,0.0
710,6,48-55-56-62-63-64,48-55-56-62-63-64,205.203,282.627,11.1913,0,(189.681525 | -264.498489),(189.691910 | -264.522034),2.57327,0.0
711,6,48-55-56-62-63-64,48-55-56-62-63-64,144.165,388.616,10.3733,0,(189.616650 | -266.356103),(189.690460 | -266.318909),8.26521,0.0
712,5,55-56-62-63-64,55-56-62-63-64,168.981,225.552,11.3868,0,(189.633407 | -268.634536),(189.688553 | -268.584930),7.41739,0.0
713,5,55-56-62-63-64,55-56-62-63-64,192.153,435.668,8.36992,0,(189.699903 | -270.171667),(189.687241 | -270.224030),5.38717,0.0
714,5,55-56-62-63-64,55-56-62-63-64,125.648,319.574,10.3533,0,(189.734546 | -271.861808),(189.686050 | -271.827423),5.9448,0.0
715,5,55-56-62-63-64,55-56-62-63-64,184.385,236.124,9.07083,0,(189.709341 | -273.864596),(189.684494 | -273.898773),4.22546,0.0
716,6,55-56-57-62-63-64,55-56-57-62-63-64,152.176,331.726,8.3401,0,(189.810498 | -275.291796),(189.683319 | -275.395721),16.4241,0.0
717,7,49-55-56-57-62-63-64,49-55-56-57-62-63-64,150.075,235.299,14.9829,0,(189.646139 | -277.292059),(189.681747 | -277.322266),4.66947,0.0
718,7,49-55-56-57-62-63-64,49-55-56-57-62-63-64,155.623,214.321,11.4901,0,(189.691270 | -278.718332),(189.680832 | -278.720306),1.0623,0.0
719,6,49-55-56-57-63-64,49-55-56-57-63-64,158.494,280.703,7.93882,0,(189.714860 | -280.049624),(189.679962 | -280.078522),4.53088,0.0
720,6,49-55-56-57-63-64,49-55-56-57-63-64,208.016,264.566,10.5441,0,(189.620847 | -281.811488),(189.678787 | -281.784668),6.38462,0.0
721,6,49-55-56-57-63-64,49-55-56-57-63-64,176.506,186.506,7.68204,0,(189.689478 | -282.973435),(189.677902 | -282.978760),1.27417,0.0
722,6,49-55-56-57-63-64,49-55-56-57-63-64,212.138,341.502,8.0906,0,(189.668157 | -284.179944),(189.677032 | -284.152191),2.91373,0.0
723,5,49-56-57-63-64,49-56-57-63-64,106.333,228.442,7.1621,0,(189.702599 | -285.749339),(189.675858 | -285.769165),3.32897,0.0
724,5,49-56-57-63-64,49-56-57-63-64,113.777,325.076,6.25433,0,(189.750571 | -286.833573),(189.674973 | -286.951447),14.0033,0.0
725,5,49-56-57-63-64,49-56-57-63-64,125.938,275.539,6.65174,0,(189.578313 | -288.015234),(189.674286 | -288.065369),10.8278,0.0
726,6,49-50-56-57-63-64,49-50-56-57-63-64,155.951,233.756,9.45282,0,(189.647319 | -289.528681),(189.673416 | -289.501740),3.75087,0.0
727,6,49-50-56-57-63-64,49-50-56-57-63-64,138.745,291.835,7.78486,0,(189.654657 | -290.610926),(189.652985 | -290.613953),0.345805,0.0
728,6,49-50-56-57-63-64,49-50-56-57-63-64,182.829,409.344,6.49824,0,(189.575560 | -291.788106),(189.582047 | -291.792358),0.775581,0.0
729,6,49-50-56-57-63-64,49-50-56-57-63-64,225.4,336.931,10.8772,0,(189.413378 | -293.429977),(189.450211 | -293.399536),4.77836,0.0
730,6,49-50-56-57-63-64,49-50-56-57-63-64,170.675,261.417,8.58249,0,(189.392220 | -294.531528),(189.339096 | -294.565094),6.28397,0.0
731,6,49-50-56-57-63-64,49-50-56-57-63-64,121.789,201.732,8.91859,0,(189.134627 | -296.080414),(189.116455 | -296.096649),2.43682,0.0
732,6,49-50-56-57-63-64,49-50-56-57-63-64,124.286,334.538,5.30318,0,(188.880407 | -297.235192),(188.795837 | -297.260956),8.84074,0.0
733,6,49-50-56-57-63-64,49-50-56-57-63-64,173.47,268.478,7.8773,0,(188.270498 | -298.426664),(188.318634 | -298.383087),6.49303,0.0
734,6,49-50-56-57-63-64,49-50-56-57-63-64,219.665,286.677,8.34007,0,(187.356675 | -299.734111),(187.427322 | -299.677246),9.06895,0.0
735,6,49-50-56-57-63-64,49-50-56-57-63-64,164.178,351.875,6.54198,0,(186.493341 | -300.354426),(186.572144 | -300.497406),16.3258,0.0
736,6,49-50-56-57-63-64,49-50-56-57-63-64,154.446,265.184,9.1713,0,(185.579240 | -301.216266),(185.581573 | -301.194550),2.1841,0.0
737,6,49-50-56-57-63-64,49-50-56-57-63-64,179.944,275.473,8.82252,0,(184.170501 | -301.873762),(184.134491 | -301.875763),3.60653,0.0
738,6,49-50-56-57-63-64,49-50-56-57-63-64,156.67,253.819,6.72713,0,(182.998158 | -302.139996),(182.987885 | -302.176605),3.80231,0.0
739,6,49-50-56-57-63-64,49-50-56-57-63-64,157.3,261.704,7.2986,0,(181.948645 | -302.233712),(181.789825 | -302.365906),20.6637,0.0
740,6,49-50-56-57-63-64,49-50-56-57-63-64,165.836,322.138,10.235,0,(180.229821 | -302.442542),(180.170425 | -302.493378),7.81796,0.0
741,6,49-50-56-57-63-64,49-50-56-57-63-64,141.867,330.972,7.26316,0,(178.918497 | -302.583244),(178.965469 | -302.534515),6.7682,0.0
742,6,49-50-56-57-63-64,49-50-56-57-63-64,229.138,328.015,8.4653,0,(177.657477 | -302.674851),(177.761826 | -302.551025),16.193,0.0
743,6,49-50-56-57-63-64,49-50-56-57-63-64,152.359,262.901,9.32784,0,(176.261720 | -302.445043),(176.147049 | -302.555389),15.9141,0.0
744,6,49-50-56-57-63-64,49-50-56-57-63-64,216.621,360.947,8.51689,0,(175.067612 | -302.586477),(174.934418 | -302.553619),13.7187,0.0
745,6,49-50-56-57-63-64,49-50-56-57-63-64,159.598,195.969,10.1556,0,(173.640357 | -302.607650),(173.725189 | -302.549530),10.2832,0.0
746,5,49-50-56-57-64,49-50-56-57-64,132.895,262.171,4.64257,0,(172.724174 | -302.313724),(172.517334 | -302.544312),30.9763,0.0
747,5,49-50-56-57-64,49-50-56-57-64,189.736,258.43,10.1575,0,(170.848339 | -302.610160),(170.904099 | -302.539276),9.01868,0.0
748,5,49-50-56-57-64,49-50-56-57-64,176.817,220.696,6.15617,0,(169.663152 | -302.531650),(169.693283 | -302.536499),3.05187,0.0
